_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-1.655 ; 10.880 ; 182 ; 2019-152T16:45:50.821Z ; 1.000
-1.655 ; 15.209 ; 375 ; 2019-351T03:50:23.033Z ; 1.000
-1.650 ; 11.368 ; 368 ; 2019-343T19:17:31.540Z ; 1.000
-1.637 ; 10.911 ; 299 ; 2019-272T21:27:35.978Z ; 1.000
-1.635 ;  9.512 ; 349 ; 2019-324T04:53:33.221Z ; 1.000
-1.629 ; 14.815 ; 239 ; 2019-211T10:05:58.815Z ; 1.000
-1.628 ; 10.976 ; 253 ; 2019-225T15:19:54.507Z ; 1.000
-1.627 ; 12.682 ; 349 ; 2019-324T08:08:59.417Z ; 1.000
-1.626 ;  9.039 ; 398 ; 2020-009T12:37:00.351Z ; 0.920
-1.626 ; 10.777 ; 360 ; 2019-335T13:25:29.565Z ; 1.000
-1.626 ; 11.908 ; 190 ; 2019-160T23:02:59.225Z ; 1.000
-1.620 ; 10.749 ; 235 ; 2019-207T03:18:09.003Z ; 1.000
-1.616 ; 13.901 ; 132 ; 2019-101T11:11:17.615Z ; 1.000
-1.615 ; 11.420 ; 123 ; 2019-092T02:45:06.723Z ; 1.000
-1.609 ; 11.384 ; 302 ; 2019-275T23:55:03.072Z ; 1.000
-1.603 ;  9.632 ; 147 ; 2019-116T16:36:32.921Z ; 1.000
-1.600 ; 15.544 ; 334 ; 2019-309T01:13:40.194Z ; 1.000
-1.599 ; 12.230 ; 359 ; 2019-334T14:15:36.988Z ; 1.000
-1.588 ; 13.311 ; 380 ; 2019-356T05:10:34.457Z ; 1.000
-1.575 ; 12.114 ; 374 ; 2019-350T00:00:09.922Z ; 1.000
-1.573 ; 13.303 ; 301 ; 2019-275T01:13:52.553Z ; 1.000
-1.567 ; 11.352 ; 019 ; 2018-350T06:10:51.745Z ; 1.000
-1.560 ; 13.590 ; 261 ; 2019-233T23:15:48.800Z ; 0.999
-1.559 ; 13.898 ; 078 ; 2019-045T23:47:43.747Z ; 1.000
-1.557 ; 14.694 ; 081 ; 2019-049T02:35:05.643Z ; 1.000
-1.555 ;  9.954 ; 220 ; 2019-191T16:39:51.027Z ; 1.000
-1.555 ; 10.686 ; 169 ; 2019-139T08:04:08.681Z ; 1.000
-1.554 ; 11.248 ; 299 ; 2019-272T21:48:24.044Z ; 1.000
-1.550 ;  9.938 ; 192 ; 2019-162T22:20:00.875Z ; 1.000
-1.549 ; 14.041 ; 221 ; 2019-192T21:31:03.467Z ; 1.000
-1.547 ; 13.623 ; 133 ; 2019-102T11:33:20.221Z ; 1.000
-1.542 ; 10.535 ; 163 ; 2019-133T03:59:35.726Z ; 1.000
-1.542 ; 12.087 ; 020 ; 2018-351T07:36:03.065Z ; 1.000
-1.536 ; 13.337 ; 317 ; 2019-291T11:46:57.458Z ; 0.999
-1.534 ; 10.335 ; 297 ; 2019-270T19:33:15.759Z ; 1.000
-1.523 ; 11.709 ; 342 ; 2019-317T02:32:51.987Z ; 1.000
-1.523 ; 14.562 ; 210 ; 2019-181T14:51:16.304Z ; 1.000
-1.520 ; 15.414 ; 065 ; 2019-032T16:47:54.588Z ; 1.000
-1.515 ; 10.226 ; 326 ; 2019-300T14:30:10.957Z ; 1.000
-1.515 ; 12.083 ; 083 ; 2019-051T01:12:58.561Z ; 1.000
-1.509 ; 14.894 ; 018 ; 2018-349T09:09:19.076Z ; 1.000
-1.499 ; 15.005 ; 309 ; 2019-283T08:14:16.004Z ; 1.000
-1.495 ; 11.854 ; 195 ; 2019-166T02:15:47.244Z ; 1.000
-1.492 ; 12.357 ; 306 ; 2019-280T03:32:46.175Z ; 1.000
-1.492 ; 12.939 ; 339 ; 2019-314T01:50:20.300Z ; 1.000
-1.491 ; 14.560 ; 069 ; 2019-036T18:33:19.177Z ; 1.000
-1.482 ; 10.662 ; 375 ; 2019-350T23:10:05.233Z ; 1.000
-1.482 ; 13.160 ; 190 ; 2019-161T00:20:09.515Z ; 1.000
-1.480 ; 13.953 ; 193 ; 2019-164T03:06:40.848Z ; 1.000
-1.479 ; 12.404 ; 332 ; 2019-306T20:41:09.413Z ; 1.000
-1.475 ; 10.938 ; 330 ; 2019-304T17:51:51.918Z ; 1.000
-1.475 ; 14.344 ; 088 ; 2019-056T06:49:22.955Z ; 1.000
-1.473 ; 13.339 ; 230 ; 2019-202T02:41:18.182Z ; 1.000
-1.471 ; 10.445 ; 353 ; 2019-328T08:28:52.258Z ; 1.000
-1.469 ;  9.127 ; 311 ; 2019-285T03:30:49.435Z ; 1.000
-1.467 ; 14.823 ; 130 ; 2019-099T10:49:37.654Z ; 1.000
-1.462 ; 12.944 ; 193 ; 2019-164T02:04:30.817Z ; 1.000
-1.453 ; 15.709 ; 037 ; 2019-003T22:36:25.369Z ; 0.671
-1.452 ; 11.602 ; 311 ; 2019-285T06:03:24.480Z ; 1.000
-1.449 ; 12.414 ; 015 ; 2018-346T04:36:36.788Z ; 1.000
-1.449 ; 12.752 ; 300 ; 2019-274T00:00:31.694Z ; 0.969
-1.444 ; 11.650 ; 183 ; 2019-153T18:12:32.011Z ; 1.000
-1.444 ; 12.756 ; 291 ; 2019-264T18:05:59.146Z ; 1.000
-1.444 ; 12.986 ; 171 ; 2019-141T11:44:19.522Z ; 0.996
-1.439 ; 13.098 ; 018 ; 2018-349T07:18:37.198Z ; 1.000
-1.437 ; 11.568 ; 038 ; 2019-004T19:00:51.072Z ; 1.000
-1.428 ; 11.271 ; 205 ; 2019-176T08:12:13.809Z ; 1.000
-1.424 ; 10.249 ; 165 ; 2019-135T05:00:22.578Z ; 1.000
-1.420 ; 13.633 ; 286 ; 2019-259T15:42:59.953Z ; 1.000
-1.416 ; 10.772 ; 051 ; 2019-018T02:47:40.265Z ; 1.000
-1.415 ;  9.226 ; 350 ; 2019-325T05:15:25.599Z ; 1.000
-1.414 ; 11.826 ; 315 ; 2019-289T08:54:56.437Z ; 0.912
-1.411 ; 13.285 ; 200 ; 2019-171T07:00:08.694Z ; 1.000
-1.407 ; 13.870 ; 187 ; 2019-157T23:06:15.035Z ; 1.000
-1.406 ; 14.800 ; 114 ; 2019-083T00:20:01.123Z ; 1.000
-1.406 ; 14.961 ; 334 ; 2019-309T00:37:40.444Z ; 1.000
-1.404 ; 13.230 ; 212 ; 2019-183T14:47:40.732Z ; 1.000
-1.401 ;  9.977 ; 151 ; 2019-120T19:34:39.859Z ; 1.000
-1.400 ; 10.195 ; 248 ; 2019-220T11:15:06.899Z ; 1.000
-1.400 ; 13.929 ; 118 ; 2019-087T02:03:28.574Z ; 1.000
-1.399 ; 15.518 ; 132 ; 2019-101T12:50:56.015Z ; 1.000
-1.394 ; 14.849 ; 288 ; 2019-261T18:16:46.599Z ; 1.000
-1.393 ; 12.292 ; 248 ; 2019-220T13:24:21.800Z ; 1.000
-1.389 ; 15.413 ; 359 ; 2019-334T17:31:49.631Z ; 1.000
-1.388 ; 11.486 ; 385 ; 2019-361T06:35:14.581Z ; 1.000
-1.385 ; 11.896 ; 130 ; 2019-099T07:49:13.353Z ; 1.000
-1.383 ; 12.428 ; 173 ; 2019-143T12:28:19.235Z ; 1.000
-1.383 ; 14.236 ; 076 ; 2019-043T22:49:40.903Z ; 0.758
-1.376 ; 12.423 ; 081 ; 2019-049T00:15:06.801Z ; 1.000
-1.376 ; 12.659 ; 049 ; 2019-016T03:24:43.769Z ; 1.000
-1.373 ; 12.946 ; 020 ; 2018-351T08:29:00.992Z ; 1.000
-1.372 ; 13.393 ; 214 ; 2019-185T16:16:16.614Z ; 1.000
-1.364 ; 11.210 ; 261 ; 2019-233T20:49:06.523Z ; 0.999
-1.364 ; 13.041 ; 332 ; 2019-306T21:20:27.249Z ; 1.000
-1.363 ; 13.583 ; 288 ; 2019-261T16:58:44.713Z ; 1.000
